times,iri,euvac
2015-03-11 15:50:00,0.16,0.14
2015-03-11 15:51:00,0.16,0.14
2015-03-11 15:52:00,0.16,0.14
2015-03-11 15:53:00,0.17,0.14
2015-03-11 15:54:00,0.17,0.14
2015-03-11 15:55:00,0.17,0.14
2015-03-11 15:56:00,0.17,0.14
2015-03-11 15:57:00,0.17,0.14
2015-03-11 15:58:00,0.17,0.14
2015-03-11 15:59:00,0.17,0.14
2015-03-11 16:00:00,0.17,0.14
2015-03-11 16:01:00,0.17,0.14
2015-03-11 16:02:00,0.17,0.14
2015-03-11 16:03:00,0.17,0.14
2015-03-11 16:04:00,0.17,0.14
2015-03-11 16:05:00,0.17,0.14
2015-03-11 16:06:00,0.17,0.14
2015-03-11 16:07:00,0.17,0.14
2015-03-11 16:08:00,0.17,0.14
2015-03-11 16:09:00,0.17,0.14
2015-03-11 16:10:00,0.17,0.14
2015-03-11 16:11:00,0.17,0.14
2015-03-11 16:12:00,0.17,0.15
2015-03-11 16:13:00,0.17,0.15
2015-03-11 16:14:00,0.17,0.17
2015-03-11 16:15:00,0.17,0.23
2015-03-11 16:16:00,0.17,0.88
2015-03-11 16:17:00,0.17,2.0
2015-03-11 16:18:00,0.17,2.76
2015-03-11 16:19:00,0.17,3.27
2015-03-11 16:20:00,0.17,3.54
2015-03-11 16:21:00,0.17,3.59
2015-03-11 16:22:00,0.17,3.53
2015-03-11 16:23:00,0.17,3.41
2015-03-11 16:24:00,0.17,3.22
2015-03-11 16:25:00,0.17,2.99
2015-03-11 16:26:00,0.17,2.76
2015-03-11 16:27:00,0.17,2.57
2015-03-11 16:28:00,0.17,2.38
2015-03-11 16:29:00,0.17,2.22
2015-03-11 16:30:00,0.18,2.06
2015-03-11 16:31:00,0.18,1.89
2015-03-11 16:32:00,0.18,1.73
2015-03-11 16:33:00,0.18,1.59
2015-03-11 16:34:00,0.18,1.46
2015-03-11 16:35:00,0.18,1.35
2015-03-11 16:36:00,0.18,1.25
2015-03-11 16:37:00,0.18,1.17
